AÑO,TRIMESTRE,CÓDIGO DANE,DEPARTAMENTO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,PENETRACIÓN (%)
2024,2,66,RISARALDA,217018,973879,22.283877155170202
2024,2,68,SANTANDER,443952,2376736,18.679062377983925
2024,2,70,SUCRE,62765,1006044,6.238792736699389
2024,2,73,TOLIMA,235791,1380948,17.074574857271962
2024,2,76,VALLE DEL CAUCA,898244,4647367,19.328019500073914
2024,2,97,VAUPÉS,685,47961,1.4282437814057254
2024,2,99,VICHADA,2629,125477,2.0952046988691153
2024,3,91,AMAZONAS,4785,86318,5.543455594429899
2024,3,5,ANTIOQUIA,1636441,6903721,23.70375338169083
2024,3,81,ARAUCA,30796,317398,9.7026446291407
2024,3,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",13283,62249,21.338495397516425
2024,3,8,ATLÁNTICO,430379,2827124,15.223209169459846
2024,3,11,BOGOTÁ D.C.,2328340,7929539,29.362867122540163
2024,3,13,BOLÍVAR,267423,2264523,11.809241946317172
2024,3,15,BOYACÁ,181430,1311983,13.828685280220856
2024,3,17,CALDAS,183192,1046110,17.511733947672806
2024,3,18,CAQUETA,31871,428162,7.443677860249158
2024,3,85,CASANARE,58071,475144,12.221768558584344
2024,3,19,CAUCA,104789,1574506,6.655357299368818
2024,3,20,CESAR,130113,1395486,9.323848465695821
2024,3,27,CHOCÓ,23531,605478,3.8863509491674346
2024,3,25,CUNDINAMARCA,712942,3553293,20.064261517414973
2024,3,23,CÓRDOBA,115202,1914778,6.016467705394568
2024,3,94,GUAINÍA,1789,57934,3.0879966858839367
